,Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
258,Antonio Cassano,Second Striker,18,Bari,Serie B,AS Roma,Italy,2001-2002,,28500000
259,Hidetoshi Nakata,Attacking Midfield,24,AS Roma,Serie A,Parma,Italy,2001-2002,,28400000
260,Francesco Toldo,Goalkeeper,29,Fiorentina,Serie A,Inter,Italy,2001-2002,,26500000
261,Jaap Stam,Centre-Back,29,Man Utd,Premier League,Lazio,Italy,2001-2002,,25750000
262,Márcio Amoroso,Centre-Forward,27,Parma,Serie A,Bor. Dortmund,Germany,2001-2002,,25500000
263,Stefano Fiore,Attacking Midfield,26,Udinese Calcio,Serie A,Lazio,Italy,2001-2002,,25000000
264,Marcelo Salas,Centre-Forward,26,Lazio,Serie A,Juventus,Italy,2001-2002,,25000000
265,Geovanni,Attacking Midfield,21,Cruzeiro, Brazil,FC Barcelona,Spain,2001-2002,,21000000
266,Andrea Pirlo,Defensive Midfield,22,Inter,Serie A,AC Milan,Italy,2001-2002,,18000000
267,Sérgio Conceição,Right Winger,26,Parma,Serie A,Inter,Italy,2001-2002,,18000000
268,Robbie Keane,Centre-Forward,20,Inter,Serie A,Leeds,England,2001-2002,,18000000
269,Sergio,Central Midfield,24,Espanyol,LaLiga,Dep. La Coruña,Spain,2001-2002,,17900000
270,Steve Marlet,Centre-Forward,27,Olympique Lyon,Ligue 1,Fulham,England,2001-2002,,17600000
271,Philippe Christanval,Centre-Back,22,Monaco,Ligue 1,FC Barcelona,Spain,2001-2002,,17000000
272,Evanilson,Right-Back,25,Bor. Dortmund,1.Bundesliga,Parma,Italy,2001-2002,,17000000
273,Robbie Fowler,Centre-Forward,26,Liverpool,Premier League,Leeds,England,2001-2002,,16800000
274,Frank Lampard,Central Midfield,23,West Ham,Premier League,Chelsea,England,2001-2002,,16000000
275,Javi Moreno,Centre-Forward,26,Alavés,LaLiga,AC Milan,Italy,2001-2002,,16000000
276,Luca Toni,Centre-Forward,24,Vicenza,Serie B,Brescia,Italy,2001-2002,,15500000
277,Cristian Zenoni,Right-Back,24,AC Milan,Serie A,Juventus,Italy,2001-2002,,15500000
278,Darko Kovacevic,Centre-Forward,27,Juventus,Serie A,Lazio,Italy,2001-2002,,15000000
279,Michalis Konstantinou,Centre-Forward,23,Iraklis,Super League,Panathinaikos,China,2001-2002,,15000000
280,Massimo Donati,Defensive Midfield,20,Atalanta,Serie A,AC Milan,Italy,2001-2002,,15000000
281,Laurent Robert,Left Winger,26,Paris SG,Ligue 1,Newcastle,England,2001-2002,,14330000
282,Ivan Pelizzoli,Goalkeeper,20,Atalanta,Serie A,AS Roma,Italy,2001-2002,,14000000
283,Giovanni van Bronckhorst,Left-Back,26,Rangers, Scotland,Arsenal,England,2001-2002,,13500000
284,Adriano,Centre-Forward,19,Flamengo, Brazil,Inter,Italy,2001-2002,,13190000
285,Mohamed Kallon,Centre-Forward,21,Vicenza,Serie B,Inter,Italy,2001-2002,,13000000
286,Goran Drulic,Centre-Forward,24,Red Star, Serbia,Real Zaragoza,Spain,2001-2002,,13000000
287,Andy Cole,Centre-Forward,30,Man Utd,Premier League,Blackburn,England,2001-2002,,12200000
288,Dean Richards,Centre-Back,27,Southampton,Premier League,Spurs,England,2001-2002,,12150000
289,Simão,Left Winger,21,FC Barcelona,LaLiga,Benfica, Portugal,2001-2002,,12000000
290,Éric Carrière,Attacking Midfield,28,FC Nantes,Ligue 1,Olympique Lyon,France,2001-2002,,12000000
291,Daniel Van Buyten,Centre-Back,23,Standard Liège,Jupiler Pro League,Marseille,France,2001-2002,,11500000
292,Seth Johnson,Central Midfield,22,Derby,Premier League,Leeds,England,2001-2002,,11500000
293,Emmanuel Petit,Defensive Midfield,30,FC Barcelona,LaLiga,Chelsea,England,2001-2002,,11500000
294,Juan Carlos Valerón,Attacking Midfield,26,Atlético Madrid,LaLiga2,Dep. La Coruña,Spain,2001-2002,,11000000
295,Cristiano Zanetti,Defensive Midfield,24,AS Roma,Serie A,Inter,Italy,2001-2002,,11000000
296,Diego Forlán,Second Striker,22,Independiente, Argentina,Man Utd,England,2001-2002,,11000000
297,Mario Turdó,Centre-Forward,22,Celta de Vigo,LaLiga,Stade Rennais,France,2001-2002,,10820000
298,Salva Ballesta,Centre-Forward,26,Atlético Madrid,LaLiga2,Valencia CF,Spain,2001-2002,,10800000
299,Corrado Grabbi,Centre-Forward,25,Ternana,Serie B,Blackburn,England,2001-2002,,10700000
300,Jan Koller,Centre-Forward,28,RSC Anderlecht,Jupiler Pro League,Bor. Dortmund,Germany,2001-2002,,10500000
301,Marco Materazzi,Centre-Back,27,Perugia,Serie A,Inter,Italy,2001-2002,,10500000
302,Edwin van der Sar,Goalkeeper,30,Juventus,Serie A,Fulham,England,2001-2002,,10300000
303,Martin Djetou,Centre-Back,26,Monaco,Ligue 1,Parma,Italy,2001-2002,,9750000
304,Gareth Southgate,Centre-Back,30,Aston Villa,Premier League,Middlesbrough,England,2001-2002,,9750000
305,Michael Ball,Left-Back,21,Everton,Premier League,Rangers,England,2001-2002,,9750000
306,Hugo Leal,Central Midfield,21,Atlético Madrid,LaLiga2,Paris SG,France,2001-2002,,9500000
307,William Gallas,Centre-Back,23,Marseille,Ligue 1,Chelsea,England,2001-2002,,9300000
308,Martin Laursen,Centre-Back,23,Hellas Verona,Serie A,Parma,Italy,2001-2002,,9300000
309,Craig Bellamy,Left Winger,21,Coventry City,First Division,Newcastle,England,2001-2002,,9000000
310,John Hartson,Centre-Forward,26,Coventry City,First Division,Celtic,England,2001-2002,,9000000
311,Fábio Rochemback,Central Midfield,19,Internacional, Brazil,FC Barcelona,Spain,2001-2002,,9000000
312,Lucas Bernardi,Central Midfield,23,Marseille,Ligue 1,Monaco,France,2001-2002,,9000000
313,Richard Wright,Goalkeeper,23,Ipswich,Premier League,Arsenal,England,2001-2002,,9000000
314,Péguy Luyindula,Centre-Forward,22,R. Strasbourg,Ligue 2,Olympique Lyon,France,2001-2002,,8800000
315,Edú Gaspar,Central Midfield,23,Corinthians, Brazil,Arsenal,England,2001-2002,,8750000
316,Flavio Roma,Goalkeeper,27,Piacenza,Serie A,Monaco,France,2001-2002,,8500000
317,Jan Vennegoor of Hesselink,Centre-Forward,22,FC Twente,Eredivisie,PSV Eindhoven,Netherlands,2001-2002,,8400000
318,Tomás Repka,Centre-Back,27,Fiorentina,Serie A,West Ham,England,2001-2002,,8250000
319,Chris Kirkland,Goalkeeper,20,Coventry City,First Division,Liverpool,England,2001-2002,,8200000
320,Claudio Pizarro,Centre-Forward,22,Werder Bremen,1.Bundesliga,Bayern Munich ,Germany,2001-2002,,8200000
321,Alex,Attacking Midfield,23,Cruzeiro, Brazil,Parma,Italy,2001-2002,,8000000
322,Darko Kovacevic,Centre-Forward,28,Lazio,Serie A,Real Sociedad,Spain,2001-2002,,8000000
323,Boudewijn Zenden,Left Winger,24,FC Barcelona,LaLiga,Chelsea,England,2001-2002,,8000000
324,Patrik Andersson,Centre-Back,29,Bayern Munich ,1.Bundesliga,FC Barcelona,Spain,2001-2002,,8000000
325,Bosko Balaban,Centre-Forward,22,Dinamo Zagreb, Croatia,Aston Villa,England,2001-2002,,7800000
326,Hugo Ibarra,Right-Back,27,Boca Juniors, Argentina,FC Porto, Portugal,2001-2002,,7800000
327,Zlatan Ibrahimovic,Centre-Forward,19,Malmö FF, Sweden,AFC Ajax,Netherlands,2001-2002,,7800000
328,Jermaine Jenas,Central Midfield,18,Nottm Forest,First Division,Newcastle,England,2001-2002,,7500000
329,Fernando Meira,Centre-Back,23,Benfica, Portugal,VfB Stuttgart,Germany,2001-2002,,7500000
330,Jason Euell,Second Striker,24,MK Dons,First Division,Charlton,England,2001-2002,,7500000
331,Giuliano Giannichedda,Defensive Midfield,26,Udinese Calcio,Serie A,Lazio,Italy,2001-2002,,7500000
332,Robert Kovac,Centre-Back,27,Bay. Leverkusen,1.Bundesliga,Bayern Munich ,Germany,2001-2002,,7500000
333,Jon Macken,Centre-Forward,24,Preston NE,First Division,Man City,England,2001-2002,,7500000
334,Frédéric Née,Centre-Forward,26,SC Bastia,Ligue 1,Olympique Lyon,France,2001-2002,,7500000
335,Don Hutchison,Attacking Midfield,30,Sunderland,Premier League,West Ham,England,2001-2002,,7500000
336,Lee Hughes,Centre-Forward,25,West Brom,First Division,Coventry City,England,2001-2002,,7500000
337,Peter Crouch,Centre-Forward,21,Portsmouth,First Division,Aston Villa,England,2001-2002,,7500000
338,Jerzy Dudek,Goalkeeper,28,Feyenoord,Eredivisie,Liverpool,England,2001-2002,,7400000
339,Ewerthon,Centre-Forward,20,Corinthians, Brazil,Bor. Dortmund,Germany,2001-2002,,7100000
340,Marcelinho Paraíba,Attacking Midfield,26,Grêmio, Brazil,Hertha BSC,Germany,2001-2002,,7000000
341,Javier Chevantón,Centre-Forward,20,Danubio FC, Uruguay,Lecce,Italy,2001-2002,,7000000
342,Cosmin Contra,Right-Back,25,Alavés,LaLiga,AC Milan,Italy,2001-2002,,7000000
343,Camel Meriem,Attacking Midfield,22,FC Sochaux,Ligue 1,G. Bordeaux,France,2001-2002,,7000000
344,Jesper Blomqvist,Left Midfield,27,Man Utd,Premier League,Everton,England,2001-2002,,7000000
345,Nelson Vivas,Right-Back,31,Arsenal,Premier League,Inter,Italy,2001-2002,,7000000
346,Milan Baros,Centre-Forward,20,Banik Ostrava, Czech Republic,Liverpool,England,2001-2002,,7000000
347,Olof Mellberg,Centre-Back,23,Racing,LaLiga2,Aston Villa,England,2001-2002,,6800000
348,Szilard Nemeth,Second Striker,23,Inter Bratislava, Slovakia,Middlesbrough,England,2001-2002,,6750000
349,Tomasz Radzinski,Centre-Forward,27,RSC Anderlecht,Jupiler Pro League,Everton,England,2001-2002,,6750000
350,Claudio Reyna,Central Midfield,28,Rangers, Scotland,Sunderland,England,2001-2002,,6700000
351,Steed Malbranque,Central Midfield,21,Olympique Lyon,Ligue 1,Fulham,England,2001-2002,,6600000
352,Christian Ziege,Left Midfield,29,Liverpool,Premier League,Spurs,England,2001-2002,,6500000
353,Joan Capdevila,Left-Back,23,Atlético Madrid,LaLiga2,Dep. La Coruña,Spain,2001-2002,,6400000
354,Matteo Sereni,Goalkeeper,26,Sampdoria,Serie B,Ipswich,England,2001-2002,,6250000
355,Bart Goor,Left Midfield,28,RSC Anderlecht,Jupiler Pro League,Hertha BSC,Germany,2001-2002,,6250000
356,John Arne Riise,Left-Back,20,Monaco,Ligue 1,Liverpool,England,2001-2002,,6100000
357,Alex,Attacking Midfield,24,Parma,Serie A,Cruzeiro, Brazil,2001-2002,,6000000
358,Luke Young,Right-Back,21,Spurs,Premier League,Charlton,England,2001-2002,,6000000
359,Rory Delap,Central Midfield,25,Derby,Premier League,Southampton,England,2001-2002,,6000000
360,Goran Bunjevcevic,Centre-Back,28,Red Star, Serbia,Spurs,England,2001-2002,,6000000
361,Antonio Guayre,Right Winger,21,UD Las Palmas,LaLiga,Villarreal CF,Spain,2001-2002,,6000000
362,Gonzalo Sorondo,Centre-Back,21,Defensor, Uruguay,Inter,Italy,2001-2002,,6000000
363,Zoltan Sebescen,Right-Back,25,VfL Wolfsburg,1.Bundesliga,Bay. Leverkusen,Germany,2001-2002,,6000000
364,Lamberto Zauli,Attacking Midfield,30,Vicenza,Serie B,Bologna,Italy,2001-2002,,6000000
365,Agustín Delgado,Centre-Forward,27,Necaxa, Mexico,Southampton,England,2001-2002,,5750000
366,Joey Gudjónsson,Central Midfield,21,RKC Waalwijk,Eredivisie,Real Betis,Spain,2001-2002,,5630000
367,Bernardo Romeo,Centre-Forward,24,San Lorenzo, Argentina,Hamburger SV,Germany,2001-2002,,5620000
368,Paulo Wanchope,Centre-Forward,24,West Ham,Premier League,Man City,England,2001-2002,,5600000
369,Didier Domi,Left-Back,23,Newcastle,Premier League,Paris SG,France,2001-2002,,5580000
370,Niko Kovac,Defensive Midfield,29,Hamburger SV,1.Bundesliga,Bayern Munich ,Germany,2001-2002,,5500000
371,Shinji Ono,Attacking Midfield,21,Urawa Reds,J1 - 2nd Stage,Feyenoord,Netherlands,2001-2002,,5500000
372,Marius Niculae,Centre-Forward,20,Dinamo Bukarest, Romania,Sporting CP, Portugal,2001-2002,,5300000
373,Sylvain Legwinski,Left Midfield,28,G. Bordeaux,Ligue 1,Fulham,England,2001-2002,,5250000
374,Jon Harley,Left-Back,21,Chelsea,Premier League,Fulham,England,2001-2002,,5250000
375,Nicolás Medina,Defensive Midfield,19,Argentinos, Argentina,Sunderland,England,2001-2002,,5250000
376,Ronaldinho,Attacking Midfield,21,Grêmio, Brazil,Paris SG,France,2001-2002,,5100000
377,Victor Agali,Centre-Forward,22,Hansa Rostock,1.Bundesliga,FC Schalke 04,Germany,2001-2002,,5100000
378,Nihat Kahveci,Centre-Forward,22,Besiktas,Süper Lig,Real Sociedad,Spain,2001-2002,,5000000
379,César,Left Midfield,26,São Caetano, Brazil,Lazio,Italy,2001-2002,,5000000
380,Christian Panucci,Right-Back,28,Inter,Serie A,AS Roma,Italy,2001-2002,,5000000
381,Ezequiel González,Attacking Midfield,20,CA Rosario, Argentina,Fiorentina,Italy,2001-2002,,5000000
382,Mantorras,Centre-Forward,19,Alverca, Portugal,Benfica, Portugal,2001-2002,,5000000
383,Eduardo Costa,Defensive Midfield,18,Grêmio, Brazil,G. Bordeaux,France,2001-2002,,5000000
384,Ümit Davala,Right Midfield,28,Galatasaray,Süper Lig,AC Milan,Italy,2001-2002,,5000000
385,Sander Westerveld,Goalkeeper,27,Liverpool,Premier League,Real Sociedad,Spain,2001-2002,,5000000
386,Lilian Laslandes,Centre-Forward,29,G. Bordeaux,Ligue 1,Sunderland,England,2001-2002,,5000000
387,João Tomás,Centre-Forward,26,Benfica, Portugal,Real Betis,Spain,2001-2002,,5000000
388,Delfim,Central Midfield,24,Sporting CP, Portugal,Marseille,France,2001-2002,,5000000
389,Jörg Albertz,Left Midfield,30,Rangers, Scotland,Hamburger SV,Germany,2001-2002,,5000000
390,David James,Goalkeeper,30,Aston Villa,Premier League,West Ham,England,2001-2002,,4800000
391,Aníbal Matellán,Centre-Back,24,Boca Juniors, Argentina,FC Schalke 04,Germany,2001-2002,,4800000
392,Jérôme Rothen,Left Midfield,23,Troyes,Ligue 1,Monaco,France,2001-2002,,4500000
393,Shota Arveladze,Centre-Forward,28,AFC Ajax,Eredivisie,Rangers,England,2001-2002,,4500000
394,Marcus Bent,Centre-Forward,23,Blackburn,Premier League,Ipswich,England,2001-2002,,4500000
395,Jardel,Centre-Forward,27,Galatasaray,Süper Lig,Sporting CP, Portugal,2001-2002,,4500000
396,Patrick M'Boma,Centre-Forward,31,Parma,Serie A,Sunderland,England,2001-2002,,4500000
397,Matthew Jones,Central Midfield,20,Leeds,Premier League,Leicester,England,2001-2002,,4500000
398,James Scowcroft,Centre-Forward,25,Ipswich,Premier League,Leicester,England,2001-2002,,4500000
399,Kenny Miller,Centre-Forward,22,Rangers, Scotland,Wolves,England,2001-2002,,4500000
400,Jacek Bak,Centre-Back,28,Olympique Lyon,Ligue 1,Lens,France,2001-2002,,4300000
401,Mido,Centre-Forward,18,KAA Gent,Jupiler Pro League,AFC Ajax,Netherlands,2001-2002,,4200000
402,Pablo Contreras,Centre-Back,22,Monaco,Ligue 1,Celta de Vigo,Spain,2001-2002,,4200000
403,Finidi George,Right Winger,30,RCD Mallorca,LaLiga,Ipswich,England,2001-2002,,4200000
404,François Grenet,Right-Back,26,G. Bordeaux,Ligue 1,Derby,England,2001-2002,,4190000
405,Lincoln,Attacking Midfield,22,Atlético-MG, Brazil,1.FC K'lautern,Germany,2001-2002,,4000000
406,Brahim Hemdani,Defensive Midfield,23,R. Strasbourg,Ligue 2,Marseille,France,2001-2002,,4000000
407,Mustapha Hadji,Attacking Midfield,29,Coventry City,First Division,Aston Villa,England,2001-2002,,4000000
408,Alberto Gilardino,Centre-Forward,19,Piacenza,Serie A,Hellas Verona,Italy,2001-2002,,3870000
409,Mario Yepes,Centre-Back,25,River Plate, Argentina,FC Nantes,France,2001-2002,,3800000
410,Sylvinho,Left-Back,27,Arsenal,Premier League,Celta de Vigo,Spain,2001-2002,,3800000
411,John de Jong,Attacking Midfield,24,FC Utrecht,Eredivisie,PSV Eindhoven,Netherlands,2001-2002,,3800000
412,Toifilou Maoulida,Centre-Forward,22,Montpellier,Ligue 1,Stade Rennais,France,2001-2002,,3800000
413,Tobias Linderoth,Defensive Midfield,22,Stabaek IF,Eliteserien,Everton,England,2001-2002,,3750000
414,Ilhan Mansiz,Centre-Forward,26,Samsunspor,Süper Lig,Besiktas,Turkey,2001-2002,,3750000
415,Ian Walker,Goalkeeper,29,Spurs,Premier League,Leicester,England,2001-2002,,3750000
416,Gabriel Heinze,Centre-Back,23,Real Valladolid,LaLiga,Paris SG,France,2001-2002,,3500000
417,Maxwell,Left-Back,19,Cruzeiro, Brazil,AFC Ajax,Netherlands,2001-2002,,3500000
418,Vitali Kutuzov,Centre-Forward,21,BATE Borisov,Vysheyshaya Liga,AC Milan,Italy,2001-2002,,3500000
419,Yksel Osmanovski,Left Midfield,24,Bari,Serie B,Torino,Italy,2001-2002,,3500000
420,Jorge Bermúdez,Centre-Back,30,Boca Juniors, Argentina,Olympiacos,China,2001-2002,,3500000
421,Gustavo Poyet,Attacking Midfield,33,Chelsea,Premier League,Spurs,England,2001-2002,,3400000
422,Abdeslam Ouaddou,Centre-Back,22,AS Nancy,Ligue 2,Fulham,England,2001-2002,,3300000
423,Stelios Venetidis,Left-Back,24,PAOK Saloniki,Super League,Olympiacos,China,2001-2002,,3300000
424,Jihai Sun,Centre-Back,24,DL Shide, China,Man City,England,2001-2002,,3260000
425,Martin Petrov,Left Winger,22,Servette FC,1.Liga gr. 1,VfL Wolfsburg,Germany,2001-2002,,3250000
426,Yildiray Bastürk,Attacking Midfield,22,VfL Bochum,2.Bundesliga,Bay. Leverkusen,Germany,2001-2002,,3250000
427,Sebastian Kehl,Defensive Midfield,21,SC Freiburg,1.Bundesliga,Bor. Dortmund,Germany,2001-2002,,3200000
428,Olivier Monterrubio,Left Midfield,24,FC Nantes,Ligue 1,Stade Rennais,France,2001-2002,,3000000
429,Diego Klimowicz,Centre-Forward,27,Lanús, Argentina,VfL Wolfsburg,Germany,2001-2002,,3000000
430,Christian Giménez,Centre-Forward,26,FC Lugano,Super League,FC Basel,China,2001-2002,,3000000
431,Ahmed Hassan,Attacking Midfield,26,Denizlispor,Süper Lig,Genclerbirligi,Turkey,2001-2002,,3000000
432,Olivier Sorlin,Defensive Midfield,22,Montpellier,Ligue 1,Stade Rennais,France,2001-2002,,3000000
433,Rolan Gusev,Right Midfield,24,Dinamo Moscow,Premier Liga,CSKA Moscow,Russia,2001-2002,,3000000
434,Nils-Eric Johansson,Left-Back,21,1.FC Nuremberg,1.Bundesliga,Blackburn,England,2001-2002,,3000000
435,Mark Kennedy,Left-Back,25,Man City,First Division,Wolves,England,2001-2002,,3000000
436,Christian Nerlinger,Defensive Midfield,28,Bor. Dortmund,1.Bundesliga,Rangers,England,2001-2002,,3000000
437,Hakan Ünsal,Left-Back,28,Galatasaray,Süper Lig,Blackburn,England,2001-2002,,3000000
438,Christian Karembeu,Defensive Midfield,30,Middlesbrough,Premier League,Olympiacos,China,2001-2002,,3000000
439,Alberto Fontana,Goalkeeper,34,SSC Napoli,Serie B,Inter,Italy,2001-2002,,3000000
440,Jason McAteer,Right Midfield,30,Blackburn,Premier League,Sunderland,England,2001-2002,,3000000
441,Marco Reich,Left Midfield,23,1.FC K'lautern,1.Bundesliga,1. FC Köln,Germany,2001-2002,,3000000
442,Roy Carroll,Goalkeeper,23,Wigan, England,Man Utd,England,2001-2002,,3000000
443,Jonathan Greening,Central Midfield,22,Man Utd,Premier League,Middlesbrough,England,2001-2002,,3000000
444,Zizi Roberts,Centre-Forward,22,Panionios,Super League,Olympiacos,China,2001-2002,,2900000
445,Miroslav Karhan,Central Midfield,25,Besiktas,Süper Lig,VfL Wolfsburg,Germany,2001-2002,,2750000
446,Francisco Rojas,Right-Back,26,Colo Colo, Chile,Sturm Graz,Switzerland,2001-2002,,2660000
447,Colin Cameron,Central Midfield,28,Heart of Midl., Scotland,Wolves,England,2001-2002,,2650000
448,Brett Ormerod,Centre-Forward,25,Blackpool, England,Southampton,England,2001-2002,,2650000
449,Tiago,Central Midfield,20,Braga, Portugal,Benfica, Portugal,2001-2002,,2500000
450,Ümit Karan,Centre-Forward,24,Genclerbirligi,Süper Lig,Galatasaray,Turkey,2001-2002,,2500000
451,Ali Karimi,Attacking Midfield,22,Persepolis, Iran,Al-Ahli (UAE), United Arab Emirates,2001-2002,,2500000
452,Daniel Andersson,Centre-Back,23,Bari,Serie B,Venezia,Italy,2001-2002,,2500000
453,Fatih Akyel,Right-Back,23,Galatasaray,Süper Lig,RCD Mallorca,Spain,2001-2002,,2500000
454,Pierre van Hooijdonk,Centre-Forward,31,Benfica, Portugal,Feyenoord,Netherlands,2001-2002,,2500000
455,Vladimir Janocko,Attacking Midfield,24,AO Xanthi,Super League,Austria Vienna,Switzerland,2001-2002,,2500000
456,Luigi Sala,Centre-Back,27,AC Milan,Serie A,Atalanta,Italy,2001-2002,,2500000
457,Pascal Nouma,Centre-Forward,29,Besiktas,Süper Lig,Marseille,France,2001-2002,,2500000
458,Jurgen Cavens,Centre-Forward,22,Lierse SK,Jupiler Pro League,Standard Liège,Belgium,2001-2002,,2500000
459,Peter Thorne,Centre-Forward,28,Stoke City, England,Cardiff,England,2001-2002,,2500000
460,Daniel Rossi,Defensive Midfield,20,São Paulo, Brazil,Kawasaki Front.,Japan,2001-2002,,2500000
461,Dennis Wise,Defensive Midfield,34,Chelsea,Premier League,Leicester,England,2001-2002,,2400000
462,Luís Boa Morte,Left Midfield,23,Southampton,Premier League,Fulham,England,2001-2002,,2300000
463,Mark Wilson,Central Midfield,22,Man Utd,Premier League,Middlesbrough,England,2001-2002,,2300000
464,Joonas Kolkka,Right Winger,26,PSV Eindhoven,Eredivisie,Panathinaikos,China,2001-2002,,2300000
465,Bruno Basto,Left-Back,23,Benfica, Portugal,G. Bordeaux,France,2001-2002,,2280000
466,Mehdi Mahdavikia,Right Midfield,23,Persepolis, Iran,Hamburger SV,Germany,2001-2002,,2250000
467,Mate Bilic,Centre-Forward,20,Hajduk Split, Croatia,Real Zaragoza,Spain,2001-2002,,2250000
468,Lucién Mettomo,Centre-Back,24,Saint-Étienne,Ligue 2,Man City,England,2001-2002,,2250000
469,Markus Weissenberger,Attacking Midfield,26,Arm. Bielefeld,2.Bundesliga,1860 Munich,Germany,2001-2002,,2250000
470,Nathan Blake,Centre-Forward,29,Blackburn,Premier League,Wolves,England,2001-2002,,2250000
471,Thomas Hengen,Sweeper,26,VfL Wolfsburg,1.Bundesliga,1.FC K'lautern,Germany,2001-2002,,2250000
472,Edwin Zoetebier,Goalkeeper,31,Vitesse,Eredivisie,Feyenoord,Netherlands,2001-2002,,2250000
473,Christian Negouai,Defensive Midfield,23,RSC Charleroi,Jupiler Pro League,Man City,England,2001-2002,,2250000
474,Denis Lapaczinski,Defensive Midfield,19,SSV Reutlingen,2.Bundesliga,Hertha BSC,Germany,2001-2002,,2250000
475,Mark Draper,Attacking Midfield,30,Aston Villa,Premier League,Southampton,England,2001-2002,,2250000
476,Peter Crouch,Centre-Forward,20,QPR, England,Portsmouth,England,2001-2002,,2250000
